S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S37;S38;S39;S40;S41;S42;S43;S44;S45;S46
5.678363222423778;5.4991682650677065;6.7615412834498105;6.6928111620815125;4.381712758608851;3.496473516814941;4.855664363426754;2.7882245168149407;4.855664363426754;3.4991682650677065;4.2051434264336365;8.677406052878123;6.259491793882766;7.774055477159116;8.03704135567893;6.381712758608851;6.794721964561787;6.626652126044421;4.381712758608851;3.496473516814941;4.855664363426754;2.7882245168149407;4.855664363426754;3.4991682650677065;4.2051434264336365;8.677406052878123;6.259491793882766;7.774055477159116;8.03704135567893;6.381712758608851;6.794721964561787;6.626652126044421;4.381712758608851;3.496473516814941;4.855664363426754;2.7882245168149407;4.855664363426754;3.4991682650677065;4.2051434264336365;8.677406052878123;6.259491793882766;7.774055477159116;8.03704135567893;6.381712758608851;6.794721964561787;6.626652126044421
5.762690143078315;7.363113909999487;7.837876497145743;6.925020326438057;4.976753484006375;4.55367749674784;6.065029772073869;3.8454284967478394;6.065029772073869;5.363113909999487;6.500699899903552;6.749517981399651;8.141400047415978;5.420675024551861;6.4980464119364285;6.976753484006375;6.273514593167256;6.294086317034575;4.976753484006375;4.55367749674784;6.065029772073869;3.8454284967478394;6.065029772073869;5.363113909999487;6.500699899903552;6.749517981399651;8.141400047415978;5.420675024551861;6.4980464119364285;6.976753484006375;6.273514593167256;6.294086317034575;4.976753484006375;4.55367749674784;6.065029772073869;3.8454284967478394;6.065029772073869;5.363113909999487;6.500699899903552;6.749517981399651;8.141400047415978;5.420675024551861;6.4980464119364285;6.976753484006375;6.273514593167256;6.294086317034575
8.552502071704822;7.527572661503673;6.875474723165378;6.540780098925111;3.381963297023025;4.893258417536396;4.983679464230761;4.185009417536396;4.983679464230761;5.527572661503673;5.218127441659153;8.432383825397995;7.600030538978784;6.762351092445387;5.798748778004914;5.381963297023026;6.107682555828459;6.46075033505411;3.381963297023025;4.893258417536396;4.983679464230761;4.185009417536396;4.983679464230761;5.527572661503673;5.218127441659153;8.432383825397995;7.600030538978784;6.762351092445387;5.798748778004914;5.381963297023026;6.107682555828459;6.46075033505411;3.381963297023025;4.893258417536396;4.983679464230761;4.185009417536396;4.983679464230761;5.527572661503673;5.218127441659153;8.432383825397995;7.600030538978784;6.762351092445387;5.798748778004914;5.381963297023026;6.107682555828459;6.46075033505411
8.183604050300449;8.213574412653383;6.559733013012388;8.548106148549145;5.379181152233395;5.353123764853313;4.628913497766728;4.644874764853313;4.628913497766728;6.213574412653384;3.3902414002761523;5.983216376188834;8.816364258186324;7.1311562763119865;7.030288352396575;7.379181152233395;6.94733896877889;5.880515515736177;5.379181152233395;5.353123764853313;4.628913497766728;4.644874764853313;4.628913497766728;6.213574412653384;3.3902414002761523;5.983216376188834;8.816364258186324;7.1311562763119865;7.030288352396575;7.379181152233395;6.94733896877889;5.880515515736177;5.379181152233395;5.353123764853313;4.628913497766728;4.644874764853313;4.628913497766728;6.213574412653384;3.3902414002761523;5.983216376188834;8.816364258186324;7.1311562763119865;7.030288352396575;7.379181152233395;6.94733896877889;5.880515515736177
7.76433552342133;8.429398333459556;8.235120292698253;5.940196026750313;6.902250480506439;5.79571099126796;6.511371115391296;5.08746199126796;6.511371115391296;6.429398333459556;6.56194118142925;6.969569718037873;7.1098722791310225;6.692533543234656;8.117063379286474;8.902250480506439;8.783782000481986;5.581111166822895;6.902250480506439;5.79571099126796;6.511371115391296;5.08746199126796;6.511371115391296;6.429398333459556;6.56194118142925;6.969569718037873;7.1098722791310225;6.692533543234656;8.117063379286474;8.902250480506439;8.783782000481986;5.581111166822895;6.902250480506439;5.79571099126796;6.511371115391296;5.08746199126796;6.511371115391296;6.429398333459556;6.56194118142925;6.969569718037873;7.1098722791310225;6.692533543234656;8.117063379286474;8.902250480506439;8.783782000481986;5.581111166822895
6.629216655737221;7.215458852795724;6.653844967366807;8.212604682189301;5.601874266947382;4.481518122805805;4.734657266704278;3.773269122805805;4.734657266704278;5.215458852795724;5.310591488256536;6.48960436238276;7.00902806668843;8.095208941774498;8.740678509542976;7.601874266947382;6.648992930159991;5.987747350961875;5.601874266947382;4.481518122805805;4.734657266704278;3.773269122805805;4.734657266704278;5.215458852795724;5.310591488256536;6.48960436238276;7.00902806668843;8.095208941774498;8.740678509542976;7.601874266947382;6.648992930159991;5.987747350961875;5.601874266947382;4.481518122805805;4.734657266704278;3.773269122805805;4.734657266704278;5.215458852795724;5.310591488256536;6.48960436238276;7.00902806668843;8.095208941774498;8.740678509542976;7.601874266947382;6.648992930159991;5.987747350961875
6.629216655737221;7.215458852795724;6.653844967366807;8.212604682189301;5.601874266947382;4.481518122805805;4.734657266704278;3.773269122805805;4.734657266704278;5.215458852795724;5.310591488256536;6.48960436238276;7.00902806668843;8.095208941774498;8.740678509542976;7.601874266947382;6.648992930159991;5.987747350961875;5.601874266947382;4.481518122805805;4.734657266704278;3.773269122805805;4.734657266704278;5.215458852795724;5.310591488256536;6.48960436238276;7.00902806668843;8.095208941774498;8.740678509542976;7.601874266947382;6.648992930159991;5.987747350961875;5.601874266947382;4.481518122805805;4.734657266704278;3.773269122805805;4.734657266704278;5.215458852795724;5.310591488256536;6.48960436238276;7.00902806668843;8.095208941774498;8.740678509542976;7.601874266947382;6.648992930159991;5.987747350961875
7.76433552342133;8.429398333459556;8.235120292698253;5.940196026750313;6.902250480506439;5.79571099126796;6.511371115391296;5.08746199126796;6.511371115391296;6.429398333459556;6.56194118142925;6.969569718037873;7.1098722791310225;6.692533543234656;8.117063379286474;8.902250480506439;8.783782000481986;5.581111166822895;6.902250480506439;5.79571099126796;6.511371115391296;5.08746199126796;6.511371115391296;6.429398333459556;6.56194118142925;6.969569718037873;7.1098722791310225;6.692533543234656;8.117063379286474;8.902250480506439;8.783782000481986;5.581111166822895;6.902250480506439;5.79571099126796;6.511371115391296;5.08746199126796;6.511371115391296;6.429398333459556;6.56194118142925;6.969569718037873;7.1098722791310225;6.692533543234656;8.117063379286474;8.902250480506439;8.783782000481986;5.581111166822895
8.183604050300449;8.213574412653383;6.559733013012388;8.548106148549145;5.379181152233395;5.353123764853313;4.628913497766728;4.644874764853313;4.628913497766728;6.213574412653384;3.3902414002761523;5.983216376188834;8.816364258186324;7.1311562763119865;7.030288352396575;7.379181152233395;6.94733896877889;5.880515515736177;5.379181152233395;5.353123764853313;4.628913497766728;4.644874764853313;4.628913497766728;6.213574412653384;3.3902414002761523;5.983216376188834;8.816364258186324;7.1311562763119865;7.030288352396575;7.379181152233395;6.94733896877889;5.880515515736177;5.379181152233395;5.353123764853313;4.628913497766728;4.644874764853313;4.628913497766728;6.213574412653384;3.3902414002761523;5.983216376188834;8.816364258186324;7.1311562763119865;7.030288352396575;7.379181152233395;6.94733896877889;5.880515515736177
8.552502071704822;7.527572661503673;6.875474723165378;6.540780098925111;3.381963297023025;4.893258417536396;4.983679464230761;4.185009417536396;4.983679464230761;5.527572661503673;5.218127441659153;8.432383825397995;7.600030538978784;6.762351092445387;5.798748778004914;5.381963297023026;6.107682555828459;6.46075033505411;3.381963297023025;4.893258417536396;4.983679464230761;4.185009417536396;4.983679464230761;5.527572661503673;5.218127441659153;8.432383825397995;7.600030538978784;6.762351092445387;5.798748778004914;5.381963297023026;6.107682555828459;6.46075033505411;3.381963297023025;4.893258417536396;4.983679464230761;4.185009417536396;4.983679464230761;5.527572661503673;5.218127441659153;8.432383825397995;7.600030538978784;6.762351092445387;5.798748778004914;5.381963297023026;6.107682555828459;6.46075033505411
5.762690143078315;7.363113909999487;7.837876497145743;6.925020326438057;4.976753484006375;4.55367749674784;6.065029772073869;3.8454284967478394;6.065029772073869;5.363113909999487;6.500699899903552;6.749517981399651;8.141400047415978;5.420675024551861;6.4980464119364285;6.976753484006375;6.273514593167256;6.294086317034575;4.976753484006375;4.55367749674784;6.065029772073869;3.8454284967478394;6.065029772073869;5.363113909999487;6.500699899903552;6.749517981399651;8.141400047415978;5.420675024551861;6.4980464119364285;6.976753484006375;6.273514593167256;6.294086317034575;4.976753484006375;4.55367749674784;6.065029772073869;3.8454284967478394;6.065029772073869;5.363113909999487;6.500699899903552;6.749517981399651;8.141400047415978;5.420675024551861;6.4980464119364285;6.976753484006375;6.273514593167256;6.294086317034575
5.678363222423778;5.4991682650677065;6.7615412834498105;6.6928111620815125;4.381712758608851;3.496473516814941;4.855664363426754;2.7882245168149407;4.855664363426754;3.4991682650677065;4.2051434264336365;8.677406052878123;6.259491793882766;7.774055477159116;8.03704135567893;6.381712758608851;6.794721964561787;6.626652126044421;4.381712758608851;3.496473516814941;4.855664363426754;2.7882245168149407;4.855664363426754;3.4991682650677065;4.2051434264336365;8.677406052878123;6.259491793882766;7.774055477159116;8.03704135567893;6.381712758608851;6.794721964561787;6.626652126044421;4.381712758608851;3.496473516814941;4.855664363426754;2.7882245168149407;4.855664363426754;3.4991682650677065;4.2051434264336365;8.677406052878123;6.259491793882766;7.774055477159116;8.03704135567893;6.381712758608851;6.794721964561787;6.626652126044421
7.343915341248574;5.03529180371522;7.0093502100014735;4.17307971426101;2.17307971426101;2.17307971426101;2.17307971426101;1.4648307142610102;5.121025474634864;2.17307971426101;5.259982017862181;7.259982017862181;4.17307971426101;7.259982017862181;7.121025474634864;7.121025474634864;7.121025474634864;3.9590510548848847;2.17307971426101;2.17307971426101;2.17307971426101;1.4648307142610102;5.121025474634864;2.17307971426101;5.259982017862181;7.259982017862181;4.17307971426101;7.259982017862181;7.121025474634864;7.121025474634864;7.121025474634864;3.9590510548848847;2.17307971426101;2.17307971426101;2.17307971426101;1.4648307142610102;5.121025474634864;2.17307971426101;5.259982017862181;7.259982017862181;4.17307971426101;7.259982017862181;7.121025474634864;7.121025474634864;7.121025474634864;3.9590510548848847
7.249283387373644;4.992734746795575;8.03585824498904;4.891627826111639;2.8916278261116393;2.8916278261116393;8.940389034834745;2.183378826111639;5.1208778765860465;8.940389034834745;6.237083178397727;8.237083178397727;4.891627826111639;8.237083178397727;7.1208778765860465;7.1208778765860465;7.1208778765860465;4.069215980667723;2.8916278261116393;2.8916278261116393;8.940389034834745;2.183378826111639;5.1208778765860465;8.940389034834745;6.237083178397727;8.237083178397727;4.891627826111639;8.237083178397727;7.1208778765860465;7.1208778765860465;7.1208778765860465;4.069215980667723;2.8916278261116393;2.8916278261116393;8.940389034834745;2.183378826111639;5.1208778765860465;8.940389034834745;6.237083178397727;8.237083178397727;4.891627826111639;8.237083178397727;7.1208778765860465;7.1208778765860465;7.1208778765860465;4.069215980667723
